Team,CPI,W,L,OW,OL,OOW,OOL,Year
Alabama,23.03170787561062,14,1,116,53,1226,813,2016
Ohio State,14.48320393925499,11,2,102,55,1092,836,2016
Washington,12.923870541835983,12,2,91,62,1075,778,2016
Florida St,12.159282507255147,10,3,104,50,1151,814,2016
Oklahoma,11.25001891558911,11,2,87,64,1003,790,2016
Western Michigan,10.906544773031326,13,1,83,79,1055,978,2016
Wisconsin,10.101538396252147,11,3,100,64,1118,878,2016
Penn State,9.355252546983735,11,3,97,69,1141,879,2016
Southern Cal,9.208905070506159,10,3,91,63,1087,789,2016
Michigan,8.78745415447655,10,3,91,66,1093,809,2016
South Florida,8.759921313948762,11,2,71,69,940,732,2016
West Virginia,8.319416032479392,10,3,89,65,1054,872,2016
Oklahoma St,7.971630575066141,10,3,86,65,1021,870,2016
Tennessee,7.870337925034626,9,4,95,52,1016,773,2016
Colorado,7.6083918317347825,10,4,92,60,1056,797,2016
Stanford,7.519273389441617,10,3,81,70,1104,819,2016
LSU,7.367314026113016,8,4,94,50,1069,763,2016
Western Kentucky,7.116518686899664,11,3,76,66,862,821,2016
Appalachian St,7.080735509541459,10,3,81,69,948,829,2016
Boise St,7.059874176867171,10,3,83,71,959,837,2016
Florida,6.634587416393196,9,4,90,65,1093,750,2016
Troy,6.60086478388169,10,3,74,68,903,788,2016
Virginia Tech,6.5169756869136926,10,4,90,73,1223,862,2016
Georgia Tech,6.50945234102153,9,4,84,60,987,725,2016
Tulsa,6.317344948587804,10,3,76,74,1024,870,2016
Air Force,6.238912834526795,10,3,72,71,897,762,2016
Miami FL,6.188782446460886,9,4,81,60,954,734,2016
Auburn,5.759851586490045,8,5,94,51,1028,720,2016
Louisville,5.608782090662399,9,4,82,70,1053,760,2016
North Carolina,5.469756481476367,8,5,99,56,1115,823,2016
San Diego St,5.435402672523458,11,3,69,81,994,883,2016
Nebraska,5.3831005379685495,9,4,82,72,1058,791,2016
Houston,5.367599636467218,9,4,78,63,887,791,2016
Kansas St,5.361957002398513,9,4,76,63,900,765,2016
Minnesota,5.278678732792961,9,4,75,67,986,743,2016
Temple,5.2539260512641635,10,4,79,73,958,837,2016
Old Dominion,5.072816701524371,10,3,65,74,844,812,2016
Utah,5.049597815996109,9,4,78,71,1044,836,2016
Pittsburgh,5.027633079985206,8,5,95,61,1153,829,2016
Toledo,4.910690736971918,9,4,82,69,951,944,2016
Navy,4.77875080844359,9,5,97,66,1025,993,2016
Washington St,4.697224077116654,8,5,92,61,1077,855,2016
Idaho,4.607088466623535,9,4,71,69,901,768,2016
Brigham Young,4.427673269252941,9,4,73,76,1044,834,2016
Texas A&M,4.41220297743522,8,5,87,65,1120,818,2016
Iowa,4.397563130462346,8,5,90,65,1097,863,2016
Georgia,4.105876772545303,8,5,78,64,995,709,2016
Memphis,3.94159158215098,8,5,79,62,896,767,2016
New Mexico,3.832396507345364,9,4,65,75,898,778,2016
Wyoming,3.3392948601901646,8,6,83,57,860,829,2016
North Carolina St,3.1854268977119395,7,6,85,58,995,728,2016
Kentucky,3.060256219383992,7,6,84,60,1015,747,2016
Louisiana Tech,3.008969262463901,9,5,66,74,848,816,2016
Arkansas,3.005546769365505,7,6,83,61,999,725,2016
Northwestern,2.976196991641517,7,6,83,59,972,770,2016
Colorado St,2.792580187786241,7,6,84,60,891,804,2016
Arkansas St,2.7367348997548477,8,5,70,80,1017,869,2016
Wake Forest,2.6960663883919893,7,6,79,64,967,742,2016
Boston College,2.578384399615157,7,6,77,66,982,742,2016
Army,2.5174138341115793,8,5,53,63,726,677,2016
Baylor,2.3721771139854635,7,6,73,65,903,760,2016
Middle Tennessee St,2.2220265474325807,8,5,61,80,837,806,2016
Ohio U.,2.2126280449463236,8,6,72,79,931,854,2016
Eastern Michigan,2.210345168205674,7,6,75,67,844,819,2016
Vanderbilt,1.9514818467104271,6,7,84,59,990,731,2016
Southern Miss,1.9286179308748426,7,6,69,71,832,804,2016
South Carolina,1.7844282590906198,6,7,80,63,1005,728,2016
Mississippi St,1.7446649190703563,6,7,86,68,1117,846,2016
Mississippi,1.6913814532201283,5,7,91,54,1084,742,2016
TCU,1.6702257318596858,6,7,84,67,1037,852,2016
Hawai`i,1.6252715191867846,7,7,82,79,1016,1011,2016
Maryland,1.4880145028569391,6,7,74,67,966,792,2016
Indiana,1.454826475912974,6,7,79,73,1020,842,2016
Central Florida,1.440121710123202,6,7,75,65,859,824,2016
South Alabama,1.3899678435452638,6,7,68,61,781,754,2016
Central Michigan,1.3670671268052454,6,7,74,67,837,821,2016
California,1.3101844586651956,5,7,82,60,919,773,2016
Louisiana-Lafayette,1.2834846230983548,6,7,75,74,963,906,2016
Texas-San Antonio,1.264647537739028,6,7,72,69,811,833,2016
SMU,1.2476724802420383,5,7,81,61,934,828,2016
Arizona St,1.1744909577576081,5,7,69,60,887,676,2016
Texas Tech,1.1412300265236217,5,7,70,59,816,707,2016
Georgia Southern,1.1239825618096821,5,7,70,59,810,725,2016
Northern Illinois,1.1070651110576852,5,7,72,59,765,745,2016
Miami OH,1.0011118650111444,6,7,67,83,959,920,2016
Texas,0.9795307750759881,5,7,69,69,891,754,2016
Akron,0.9425320305099957,5,7,66,64,780,763,2016
Syracuse,0.8021245389472624,4,8,82,51,919,694,2016
Missouri,0.7221999207217628,4,8,77,54,894,690,2016
North Texas,0.719869765279989,5,8,65,64,751,756,2016
Oregon St,0.7119317919589525,4,8,76,54,892,694,2016
Oregon,0.7091864268277759,4,8,76,54,888,697,2016
Duke,0.6792817415709698,4,8,82,60,979,801,2016
UCLA,0.6229890453834115,4,8,77,63,987,788,2016
Nevada,0.6059093166808751,5,7,56,83,884,829,2016
Louisiana-Monroe,0.586288859430013,4,8,77,62,895,840,2016
Notre Dame,0.5843523171625379,4,8,76,65,908,764,2016
Cincinnati,0.552267472945507,4,8,77,64,880,880,2016
Tulane,0.55037102487848,4,8,75,66,927,838,2016
San José St,0.539749981140726,4,8,71,59,748,783,2016
Bowling Green,0.5143667757507042,4,8,73,67,899,861,2016
UNLV,0.456868149392483,4,8,64,67,799,747,2016
UNC-Charlotte,0.4205758166987826,4,8,62,67,760,786,2016
Florida Int'l,0.3764112821786466,4,8,64,77,809,831,2016
Ball St,0.37132725722942644,4,8,57,71,770,753,2016
Arizona,0.33600390477570863,3,9,90,53,962,810,2016
UTEP,0.3322979780813066,4,8,55,73,726,768,2016
Utah St,0.28224307592069353,3,9,86,57,883,885,2016
Illinois,0.2764691132466618,3,9,74,57,880,707,2016
Michigan St,0.25942369959184497,3,9,71,60,923,710,2016
East Carolina,0.2486269902041032,3,9,72,60,837,728,2016
Iowa St,0.24709289340935428,3,9,69,59,831,696,2016
Kent St,0.24452294493972956,3,9,78,64,917,851,2016
Purdue,0.24046603080153567,3,9,70,61,864,739,2016
Georgia St,0.2376948171416858,3,9,70,59,792,741,2016
New Mexico St,0.22626321989855383,3,9,75,66,845,806,2016
Marshall,0.19718173364029787,3,9,65,64,758,767,2016
Rice,0.1952190991478569,3,9,72,69,816,887,2016
Connecticut,0.1914566031846569,3,9,66,73,956,803,2016
Florida Atlantic,0.16960590959207267,3,9,60,67,729,770,2016
Rutgers,0.08954240683501871,2,10,78,54,899,724,2016
Kansas,0.07601539610501522,2,10,72,58,827,718,2016
Virginia,0.07532435589989543,2,10,77,66,1014,793,2016
Massachusetts,0.0688716454221918,2,10,77,65,896,875,2016
Texas St-San Marcos,0.06358209081434406,2,10,67,63,804,751,2016
Buffalo,0.04989306642159614,2,10,65,73,836,885,2016
Fresno St,0.008014553764067065,1,11,68,62,780,761,2016
Alabama,20.136472571779766,13,1,102,55,1091,740,2017
Central Florida,19.08379077956817,13,0,81,57,945,761,2017
Georgia,17.349849634784437,13,2,102,50,1092,753,2017
Clemson,15.634713129894957,12,2,99,55,1106,735,2017
Wisconsin,15.280669385973663,13,1,95,70,1167,860,2017
Ohio State,14.667932553014825,12,2,105,60,1163,859,2017
Penn State,12.79449889592371,11,2,92,60,1059,778,2017
Notre Dame,11.779905849412568,10,3,105,53,1148,811,2017
Oklahoma,11.183099131224177,12,2,87,68,1111,860,2017
Miami FL,10.497904282357963,10,3,96,56,1098,801,2017
Michigan St,9.72880621023077,10,3,91,60,1097,767,2017
Auburn,9.418663795152545,10,4,95,48,992,702,2017
Southern Cal,8.959851349305186,11,3,88,65,1057,836,2017
Florida Atlantic,8.234759849905783,11,3,88,65,973,923,2017
TCU,7.950989794196621,11,3,77,65,970,770,2017
Boise St,7.946747749914043,11,3,86,67,937,870,2017
Washington,7.72584831799085,10,3,85,67,1034,871,2017
Troy,7.506729591587713,11,2,70,70,795,809,2017
Northwestern,7.460656662158306,10,3,80,71,1092,778,2017
Mississippi St,7.06390614202042,9,4,88,57,982,717,2017
South Carolina,6.962662214533855,9,4,93,61,1103,814,2017
North Carolina St,6.886418694596139,9,4,92,62,1120,806,2017
LSU,6.797720475626967,9,4,82,58,1011,682,2017
South Florida,6.4762245607395,10,2,62,75,930,772,2017
Toledo,6.455952074019307,11,3,76,73,950,907,2017
Oklahoma St,6.425405376500221,10,3,78,75,988,831,2017
Army,6.385415092093029,10,3,71,69,924,770,2017
San Diego St,6.285753019607576,10,3,73,69,881,805,2017
Memphis,6.20231697698334,10,3,62,63,848,683,2017
Washington St,5.983088697139148,9,4,82,61,941,775,2017
Virginia Tech,5.751233755358306,9,4,83,66,1049,829,2017
Iowa,5.556881790194315,8,5,101,55,1103,836,2017
Fresno St,5.448454763107027,10,4,75,65,883,812,2017
Stanford,5.048482251135261,9,5,90,64,1046,834,2017
Wake Forest,4.963465195882362,8,5,86,56,997,720,2017
Michigan,4.656030650320159,8,5,88,62,1071,774,2017
Iowa St,4.273480444632376,8,5,91,66,1054,877,2017
North Texas,4.107891057550003,9,5,77,62,845,832,2017
Louisville,3.9226957076095985,8,5,76,66,1006,706,2017
Appalachian St,3.6565156849512364,9,4,66,73,784,820,2017
Kansas St,3.484944873591975,8,5,80,73,1054,873,2017
Florida St,3.461967270020471,7,6,88,54,996,729,2017
Ohio U.,3.3970107805487495,9,4,68,81,900,931,2017
Boston College,3.305477865621699,7,6,94,61,1065,785,2017
Navy,3.080354884072701,7,6,91,61,976,797,2017
Florida Int'l,3.0598498616882535,8,5,76,73,919,902,2017
Texas A&M,3.0136352992092084,7,6,88,63,1081,821,2017
Kentucky,2.9645541401446254,7,6,82,58,931,751,2017
Marshall,2.795062506650484,8,5,74,76,924,951,2017
Northern Illinois,2.776030079247221,8,5,71,77,956,891,2017
Arizona St,2.7232232124176035,7,6,89,67,1000,866,2017
Oregon,2.70250278933843,7,6,87,67,1043,880,2017
Wyoming,2.680545998310742,8,5,67,75,868,812,2017
Houston,2.672933620616003,7,5,70,70,934,800,2017
Duke,2.6578292707221287,7,6,83,66,1021,840,2017
SMU,2.637036098175834,7,6,79,61,862,763,2017
Purdue,2.6002572288330557,7,6,84,68,1016,847,2017
Temple,2.490668058821997,7,6,75,62,873,767,2017
Central Michigan,2.4875573865089406,8,5,63,75,842,802,2017
West Virginia,2.4683451298373056,7,6,77,66,939,783,2017
Utah,2.4454779343647903,7,6,78,67,950,805,2017
Texas,2.379369523245149,7,6,82,74,1021,830,2017
Missouri,2.3349029545037663,7,6,71,69,974,701,2017
Mississippi,2.2302680558606665,6,6,72,57,870,649,2017
Southern Miss,2.2298944952710626,8,5,64,84,941,898,2017
Georgia Tech,2.0641143899492724,5,6,81,50,929,687,2017
Louisiana Tech,2.0501837170352015,7,6,72,69,835,823,2017
Akron,1.9809236631070082,7,7,77,62,849,795,2017
Arizona,1.9706460432548065,7,6,73,78,1031,878,2017
Georgia St,1.8044233839082189,7,5,58,77,820,845,2017
Texas Tech,1.7979264547507194,6,7,89,63,1022,894,2017
Western Michigan,1.7449583383649319,6,6,68,62,775,744,2017
UCLA,1.7336860148466346,6,7,89,66,1036,901,2017
Alabama-Birmingham,1.662803428293314,8,5,52,84,797,836,2017
Colorado St,1.602899633023995,7,6,62,78,880,801,2017
Arkansas St,1.594458903803132,7,5,51,74,719,771,2017
Virginia,1.531632031544413,6,7,73,66,941,725,2017
Buffalo,1.5148618978346626,6,6,68,70,849,852,2017
Middle Tennessee St,1.464057735925599,7,6,64,85,951,920,2017
Texas-San Antonio,1.4369703076145057,6,5,54,73,766,798,2017
Tulane,1.3760740089826207,5,7,84,56,902,805,2017
Vanderbilt,1.3752935134977777,5,7,77,54,859,702,2017
Indiana,1.2831232312837668,5,7,72,58,931,679,2017
New Mexico St,1.2159225576462163,7,6,58,89,867,866,2017
Pittsburgh,1.1959182822513716,5,7,74,63,982,751,2017
California,1.177920071172711,5,7,78,65,966,799,2017
Utah St,1.161367944754672,6,7,69,73,853,852,2017
Air Force,1.1188719162717968,5,7,71,59,811,753,2017
Minnesota,1.111805548453154,5,7,73,67,987,759,2017
Maryland,0.9934135819418913,4,8,90,41,924,702,2017
Colorado,0.9629703349846663,5,7,65,65,836,734,2017
Florida,0.9348179461052089,4,7,77,55,881,661,2017
Eastern Michigan,0.8210944992821931,5,7,66,73,872,860,2017
Western Kentucky,0.8187498417358656,6,7,56,82,840,821,2017
Syracuse,0.8131212664933977,4,8,90,53,991,797,2017
Arkansas,0.7997986150604538,4,8,83,50,865,695,2017
Miami OH,0.7983376251918705,5,7,64,74,880,835,2017
Old Dominion,0.7729797208770232,5,7,60,70,768,763,2017
Nebraska,0.7508463311618179,4,8,86,56,970,785,2017
Tennessee,0.7242688962498254,4,8,76,53,862,668,2017
UNLV,0.7200134150153301,5,7,62,77,867,866,2017
Rutgers,0.6425205475871119,4,8,70,58,931,674,2017
Cincinnati,0.6077541342207629,4,8,76,62,923,783,2017
Louisiana-Lafayette,0.5545515687106602,5,7,53,81,812,845,2017
Louisiana-Monroe,0.4366622545462028,4,8,68,70,757,802,2017
South Alabama,0.4267273634820804,4,8,62,63,695,789,2017
Idaho,0.4197377869343064,4,8,67,68,767,900,2017
Brigham Young,0.39523774976580617,4,9,73,70,883,813,2017
Massachusetts,0.34852380494681523,4,8,59,77,853,853,2017
East Carolina,0.29582373252339306,3,9,84,57,925,809,2017
North Carolina,0.2673969628935127,3,9,77,61,957,784,2017
Nevada,0.25449237102125916,3,9,75,57,781,767,2017
Connecticut,0.22811192929265328,3,9,67,61,795,697,2017
New Mexico,0.21576757644783065,3,9,69,62,774,781,2017
Coastal Carolina,0.15170380232836034,3,9,61,74,797,879,2017
Hawai`i,0.14843028391012938,3,9,63,78,837,922,2017
Illinois,0.07420144118077211,2,10,76,64,936,785,2017
Bowling Green,0.07096400959251357,2,10,78,64,887,859,2017
Tulsa,0.06951286080860117,2,10,75,64,885,831,2017
Kent St,0.06825562948011925,2,10,76,64,865,864,2017
Georgia Southern,0.057945430120911155,2,10,71,68,816,885,2017
Texas St-San Marcos,0.051220423569944766,2,10,62,62,647,815,2017
Ball St,0.05048083265568818,2,10,62,67,709,793,2017
San José St,0.042561000788723276,2,11,69,72,819,859,2017
Kansas,0.009868276260619044,1,11,76,57,834,763,2017
Baylor,0.009520476148769559,1,11,73,58,836,742,2017
Oregon St,0.009004672195268746,1,11,71,60,838,744,2017
UNC-Charlotte,0.009000398553217605,1,11,82,59,796,935,2017
Rice,0.00733036610613744,1,11,71,69,854,880,2017
UTEP,0.0,0,12,76,67,817,944,2017
Clemson,28.03483678483679,15,0,114,54,1239,796,2018
Alabama,20.688097541235337,14,1,109,60,1235,784,2018
Notre Dame,17.18782964528858,12,1,95,62,1134,766,2018
Ohio State,13.097950650643531,13,1,88,77,1179,871,2018
Oklahoma,12.942861869472571,12,2,91,61,1109,825,2018
Georgia,12.505935778341213,11,3,104,54,1111,756,2018
Central Florida,11.842688493982308,12,1,67,62,854,676,2018
LSU,11.01350481318449,10,3,93,52,1007,705,2018
Washington St,10.593990104817577,11,2,86,68,1071,839,2018
Florida,10.526532072934247,10,3,80,50,971,619,2018
Army,10.14451094016814,11,2,85,67,1004,871,2018
Texas A&M,9.375368253566299,9,4,101,45,1022,709,2018
Appalachian St,9.206627508884493,11,2,68,60,812,696,2018
Michigan,9.166069376479848,10,3,92,61,1061,844,2018
Kentucky,8.8956271711315,10,3,81,62,1041,668,2018
Syracuse,8.603539519837998,10,3,79,61,1005,688,2018
Fresno St,8.362028053798685,12,2,69,70,915,783,2018
Cincinnati,8.148562819088191,11,2,74,75,1017,848,2018
Washington,7.42270799999427,10,4,86,56,959,768,2018
Boise St,7.276225183026631,10,3,77,62,846,778,2018
Stanford,6.945569709916759,9,4,95,61,1095,845,2018
Georgia Southern,6.900965712113917,10,3,74,65,865,752,2018
Troy,6.890685342532496,10,3,80,69,950,859,2018
Utah St,6.784033172189252,11,2,64,74,845,778,2018
Texas,6.10935241505837,10,4,82,68,1072,839,2018
Alabama-Birmingham,6.086365177395727,11,3,68,71,874,793,2018
North Carolina St,5.9804880401889635,9,4,84,67,1113,798,2018
Penn State,5.980480926078466,9,4,88,65,1021,853,2018
Iowa,5.587855532824349,9,4,84,70,1106,848,2018
West Virginia,5.5749718367802,8,4,75,55,870,669,2018
Mississippi St,5.523696441193067,8,5,92,52,986,712,2018
Utah,5.334257175669177,9,5,93,61,1078,880,2018
Auburn,5.280940963885546,8,5,87,55,1016,667,2018
Northwestern,5.015808096164124,9,5,97,69,1170,946,2018
Duke,4.96058862886666,8,5,89,57,999,745,2018
Missouri,4.896382301491264,8,5,87,58,1005,717,2018
Oregon,4.5735652360910155,9,4,70,71,944,744,2018
Iowa St,4.538177444379977,8,5,90,61,1030,849,2018
Buffalo,4.333832648009751,10,4,73,78,923,891,2018
Marshall,4.222724336277211,9,4,74,73,918,910,2018
Ohio U.,4.1576122865491065,9,4,70,70,839,835,2018
Boston College,3.7108920299654415,7,5,74,57,921,651,2018
South Carolina,3.6713610466465423,7,6,90,53,1014,694,2018
Temple,3.433853366799687,8,5,74,66,876,785,2018
Virginia,3.350286145582379,8,5,70,70,954,705,2018
Arkansas St,3.348081884863003,8,5,80,72,974,904,2018
North Texas,3.3357365091378743,9,4,66,80,885,914,2018
Pittsburgh,3.2441226748394816,7,7,105,51,1077,803,2018
Wake Forest,3.229383819929606,7,6,93,63,1146,823,2018
Middle Tennessee St,3.075855436419487,8,6,79,61,848,790,2018
TCU,3.0576659849668246,7,6,91,61,1024,850,2018
Florida Int'l,3.0524712426992275,9,4,58,80,852,784,2018
Wisconsin,3.039504410959757,8,5,74,78,1067,872,2018
Nevada,2.8836004200873595,8,5,68,73,881,775,2018
Northern Illinois,2.846537436099823,8,6,90,76,1011,937,2018
Oklahoma St,2.8315252676283027,7,6,80,61,942,730,2018
Louisiana Tech,2.7418619609707777,8,5,71,78,956,889,2018
Brigham Young,2.724890991890433,7,6,84,61,881,813,2018
Georgia Tech,2.7032811524749154,7,6,86,70,1111,839,2018
Miami FL,2.661436451865978,7,6,78,63,947,753,2018
Hawai`i,2.6306082457912843,8,6,86,79,1067,989,2018
Minnesota,2.6001864938267474,7,6,85,68,1042,889,2018
Baylor,2.5678661113290717,7,6,82,69,1048,831,2018
Michigan St,2.565941823154789,7,6,84,69,1042,869,2018
Tulane,2.5579966806820806,7,6,89,68,982,944,2018
Houston,2.396881029376176,8,5,62,78,859,779,2018
San Diego St,2.3924738232303833,7,6,77,65,874,803,2018
Arizona St,2.337380028352909,7,6,80,73,995,822,2018
California,2.2145110591598587,7,6,75,73,1034,838,2018
South Florida,2.157276363590587,7,6,77,72,966,901,2018
Eastern Michigan,2.125236777578635,7,6,79,73,960,945,2018
Vanderbilt,2.065048069261643,6,7,86,57,989,714,2018
Wyoming,1.9947268031329335,6,6,78,63,899,825,2018
Western Michigan,1.9347655894401454,7,6,68,72,893,807,2018
Miami OH,1.9279293919077054,6,6,79,63,887,893,2018
Southern Miss,1.9277376871294167,6,5,62,64,757,786,2018
Toledo,1.9165955427683665,7,6,72,71,815,868,2018
Louisiana-Lafayette,1.8858843752291206,7,7,79,70,1002,865,2018
Purdue,1.8100175667569693,6,7,89,65,1044,850,2018
Virginia Tech,1.780542670385515,6,7,80,60,934,750,2018
Florida St,1.775809672171686,5,7,86,47,940,661,2018
Liberty,1.7548553052855909,6,6,54,49,617,591,2018
Memphis,1.7286220334619498,8,6,61,86,1005,863,2018
Louisiana-Monroe,1.6359897312278264,6,6,62,64,800,680,2018
Tennessee,1.6034081726537468,5,7,81,51,923,645,2018
Indiana,1.2603155823889038,5,7,81,61,944,819,2018
Mississippi,1.250071960511168,5,7,70,60,928,629,2018
Texas Tech,1.2498891087688466,5,7,80,61,935,807,2018
Florida Atlantic,1.24933652521455,5,7,77,53,734,757,2018
Kansas St,1.211720972913349,5,7,71,59,871,680,2018
Coastal Carolina,1.2075595835873896,5,7,78,62,918,789,2018
Maryland,1.2069322436015995,5,7,79,63,966,826,2018
Southern Cal,1.184444842712717,5,7,77,64,974,800,2018
SMU,1.123200530253148,5,7,72,59,789,746,2018
UNC-Charlotte,1.0547399228946355,5,7,68,59,740,715,2018
Arizona,1.014353503108614,5,7,66,63,833,722,2018
Air Force,1.0009213639006815,5,7,71,67,897,819,2018
Colorado,0.8542888306462866,5,7,59,69,851,680,2018
Nebraska,0.7285818590353298,4,8,80,52,881,764,2018
Massachusetts,0.6096179105648022,4,8,78,62,920,815,2018
Akron,0.43441130686807633,4,8,62,69,831,756,2018
Illinois,0.4266578888375143,4,8,64,75,958,805,2018
UNLV,0.4192683936074122,4,8,61,68,768,749,2018
Ball St,0.41532557724993835,4,8,65,73,880,861,2018
Old Dominion,0.3740240510588016,4,8,57,71,743,716,2018
UCLA,0.3367443759833772,3,9,92,53,954,828,2018
South Alabama,0.25029329615684365,3,9,74,57,751,745,2018
East Carolina,0.24109972802926274,3,9,78,62,857,867,2018
Navy,0.2357621665511151,3,10,88,55,847,825,2018
Kansas,0.21902198434770262,3,9,71,70,968,783,2018
New Mexico,0.21695053607969053,3,9,72,65,835,826,2018
Colorado St,0.19105989731028947,3,9,66,71,902,810,2018
New Mexico St,0.18174893313957058,3,9,61,66,781,768,2018
Texas-San Antonio,0.1771656200941915,3,9,68,72,781,844,2018
Bowling Green,0.1704368739595273,3,9,65,73,856,885,2018
Tulsa,0.16521290182332002,3,9,64,77,893,847,2018
Western Kentucky,0.16232048374905517,3,9,64,76,859,869,2018
Texas St-San Marcos,0.1517673211747504,3,9,55,72,767,714,2018
Louisville,0.10813898130336518,2,10,92,51,1022,789,2018
North Carolina,0.09220422457501615,2,9,63,57,792,631,2018
Oregon St,0.08809047518648039,2,10,79,52,823,750,2018
Arkansas,0.082923001474723,2,10,73,58,905,664,2018
Georgia St,0.08230570657180399,2,10,85,58,872,861,2018
Kent St,0.04815333947130954,2,10,58,69,762,766,2018
Rice,0.04724290384857585,2,11,73,68,803,856,2018
San José St,0.011354212271920626,1,11,89,54,894,871,2018
Connecticut,0.008833333953517113,1,11,76,63,868,832,2018
Rutgers,0.008548262294024412,1,11,75,67,933,829,2018
Central Michigan,0.006763051685573452,1,11,69,74,901,894,2018
UTEP,0.004758284742682363,1,11,52,75,719,747,2018
LSU,27.81090580974389,15,0,114,55,1234,785,2019
Ohio State,19.03510596761913,13,1,101,56,1107,820,2019
Clemson,17.71916867557893,14,1,102,66,1199,829,2019
Georgia,16.64864300406348,12,2,103,52,1104,740,2019
Florida,14.880564973741993,11,2,84,49,992,619,2019
Penn State,14.406898925892936,11,2,93,50,980,763,2019
Oregon,13.053328615942233,12,2,101,66,1198,916,2019
Memphis,12.092559742108861,12,2,87,63,1080,812,2019
Notre Dame,12.028111029222122,11,2,90,64,1076,775,2019
Oklahoma,11.861319181850519,12,2,80,60,976,716,2019
Appalachian St,11.413852235291992,13,1,71,68,907,753,2019
Navy,11.164614193687312,11,2,80,60,938,724,2019
Alabama,10.961771639888834,11,2,77,64,1029,667,2019
Boise St,10.801519385320507,12,2,78,63,945,741,2019
Air Force,9.713599160562255,11,2,77,65,903,753,2019
Minnesota,9.648296598914524,11,2,80,71,1082,825,2019
Auburn,9.603499312233996,9,4,102,44,1030,707,2019
Florida Atlantic,8.695754957543201,11,3,90,64,970,878,2019
Utah,8.6039180686255,11,3,85,67,1059,808,2019
Cincinnati,8.484839068817523,11,3,84,68,1039,775,2019
Baylor,8.084814890264266,11,3,76,63,935,742,2019
Iowa,7.89986088643087,10,3,85,68,1060,825,2019
Wisconsin,7.669402585411535,10,4,95,59,1090,881,2019
SMU,7.532284382471786,10,3,82,69,991,775,2019
Central Florida,7.31679081892375,10,3,81,69,1043,849,2019
Michigan,7.307976955052338,9,4,97,58,1055,821,2019
Louisiana-Lafayette,7.29466257116296,11,3,74,66,886,760,2019
San Diego St,6.074993959523051,10,3,78,77,1023,918,2019
Virginia,5.196925099581971,9,5,91,64,1038,791,2019
Texas A&M,5.152061346630679,8,5,87,57,1049,683,2019
Texas,4.94344355383538,8,5,97,59,1077,886,2019
Tennessee,4.894837030620171,8,5,87,56,959,731,2019
Louisville,4.738627280282261,8,5,87,58,989,762,2019
Hawai`i,4.691990365344264,10,5,88,74,1120,967,2019
Washington,4.691023614271258,8,5,87,58,969,764,2019
Western Kentucky,4.671714081262851,9,4,80,75,1047,934,2019
Southern Cal,4.661779280142361,8,5,91,62,1058,813,2019
Marshall,4.248417064546803,8,5,86,58,874,836,2019
Kansas St,4.189913566728624,8,5,87,67,1094,848,2019
Arizona St,4.1337157650708365,8,5,87,67,1096,876,2019
Louisiana Tech,4.064332046767465,10,3,63,86,945,947,2019
Kentucky,3.931699938909625,8,5,82,69,1107,828,2019
Oklahoma St,3.899434287093001,8,5,82,69,1086,828,2019
Pittsburgh,3.8929983021626575,8,5,78,64,934,753,2019
Temple,3.7338314077340464,8,5,76,65,916,745,2019
Wake Forest,3.665141990544302,8,5,75,67,968,749,2019
California,3.6448515492050686,8,5,75,66,953,771,2019
Virginia Tech,3.4724408429194247,8,5,67,63,888,695,2019
Arkansas St,3.407815844506078,8,5,79,72,1022,891,2019
Wyoming,3.3575699868396076,8,5,72,67,886,764,2019
Buffalo,3.2667385156771713,8,5,81,73,984,958,2019
Utah St,3.235760845347087,7,6,89,55,924,779,2019
Iowa St,3.2174749404175715,7,6,94,61,1091,856,2019
Indiana,3.1431253041582896,8,5,67,71,983,735,2019
Miami OH,3.140408783849592,8,6,89,67,968,904,2019
Brigham Young,3.0186672141266273,7,6,87,58,905,780,2019
North Carolina,2.9829958343859664,7,6,84,60,954,745,2019
Georgia Southern,2.9460648379755425,7,6,86,57,852,781,2019
Tulane,2.9060350332299905,7,6,82,60,940,744,2019
Michigan St,2.762167102669601,7,6,86,68,1066,813,2019
Alabama-Birmingham,2.717510086927782,9,5,73,88,1014,1024,2019
Kent St,2.357737276737046,7,6,82,73,1063,907,2019
Mississippi St,2.317764107874992,6,7,92,53,1009,714,2019
Southern Miss,2.306837238865765,7,6,83,70,962,954,2019
Liberty,2.293945201445316,8,5,60,78,905,833,2019
Western Michigan,2.2174994165788178,7,6,81,73,1014,961,2019
Central Michigan,2.2112803629561104,8,6,79,86,1081,1010,2019
Georgia St,2.1862036044374595,7,6,78,74,1021,899,2019
Nevada,2.1502553920429395,7,6,79,76,1036,918,2019
UNC-Charlotte,2.1201019722472725,7,6,74,69,856,832,2019
Florida St,2.0925177091728653,6,7,89,56,970,747,2019
Ohio U.,2.01588604870224,7,6,71,71,877,821,2019
Missouri,1.9883715723867454,6,6,73,66,1026,753,2019
Miami FL,1.7707160772986976,6,7,89,65,1058,904,2019
Boston College,1.7630420338892074,6,7,81,62,963,760,2019
Washington St,1.5732769716030313,6,7,75,65,944,749,2019
Toledo,1.4691178160295197,6,6,62,67,781,754,2019
West Virginia,1.3326222016658993,5,7,83,61,1002,805,2019
Duke,1.3248221065759094,5,7,82,59,972,823,2019
Oregon St,1.3081241167189208,5,7,76,57,880,709,2019
TCU,1.264881163278804,5,7,79,61,961,789,2019
