Player,School,Passing_Rate,Passing_TD,Rushing_TD,Power5,CPI
Athan Kaliakmanis,Rutgers,155.2,3.0,0.0,1,25.0
Spencer Petras,Utah State,143.2,1.0,0.0,0,25.0
Cade Klubnik,Clemson,96.3,0.0,0.0,1,0.0
Jackson Arnold,Oklahoma,168.2,4.0,0.0,1,25.0
Hayden Wolff,Western Michigan,121.4,0.0,0.0,0,0.0
Donovan Smith,Houston,74.5,0.0,0.0,1,0.0
Keyone Jenkins,Florida International,110.8,1.0,0.0,0,0.0
Forrest Brock,Temple,75.0,0.0,0.0,0,0.0
Davis Warren,Michigan,104.8,1.0,0.0,1,25.0
Cam Fancher,Florida Atlantic,84.2,1.0,0.0,0,0.0
Skyler Locklear,UTEP,129.2,1.0,0.0,0,0.0
Aidan Chiles,Michigan State,64.9,0.0,1.0,1,25.0
LaNorris Sellers,South Carolina,85.1,0.0,1.0,1,25.0
Austin Simmons,Ole Miss,122.7,1.0,0.0,1,25.0
Thomas Castellanos,Boston College,159.4,2.0,1.0,1,25.0
Conner Weigman,Texas A&M,54.7,0.0,0.0,1,0.0
TJ Finley,Western Kentucky,70.1,0.0,0.0,0,0.0
Graham Mertz,Florida,83.2,0.0,0.0,1,0.0
Nick Evers,Connecticut,59.6,0.0,0.0,0,0.0
John Busha,Air Force,85.5,0.0,0.0,0,25.0
Max Johnson,North Carolina,84.0,0.0,1.0,1,25.0
Brayden Fowler-Nicolosi,Colorado State,72.0,0.0,0.0,0,0.0
Ben Finley,Akron,74.7,0.0,0.0,0,0.0
Evan Svoboda,Wyoming,36.9,0.0,0.0,0,0.0
Parker Awad,New Mexico State,33.9,0.0,0.0,0,25.0
